CORPORATE_IDENTIFICATION_NUMBER,DATE_OF_REGISTRATION
U72200GJ2000PTC038517,2011
U51223MH2008PTC184965,2007
U51223PN1994PTC078366,2008
U51224MH1990PTC056561,1994
U51224MH1992PTC069502,1990
U51224MH1998PTC113215,1992
U51224MH1998PTC116121,1998
U51224MH2003PTC139970,1998
U51224MH2007PTC168513,2003
U51224MH2007PTC171459,2007
U51224MH2008PTC185543,2007
U51224MH2018PTC314599,2008
U51224PN1985PTC036821,2018
U51224PN2000PTC014341,1985
U51224PN2000PTC014995,2000
U51224PN2002PTC017482,2000
U51225MH1934PTC002213,2002
U51225MH1947PLC006003,1934
U51225MH1978PTC020847,1947
U51225MH1980PTC023355,1978
U51225MH1989PTC050361,1980
U51225MH1990PLC057613,1989
U51225MH1991PTC062754,1990
U51225MH1993PLC075697,1991
U51225MH1994PTC078607,1993
U51225MH1995PTC088004,1994
U51225MH1995PTC088062,1995
U51225MH1998PTC115668,1995
U51225MH1998PTC117155,1998
U51225MH2000PTC127001,1998
U51225MH2000PTC127081,2000
U51225MH2000PTC128228,2000
U51225MH2000PTC128545,2000
U51225MH2001PTC131351,2000
U51225MH2003PTC140312,2001
U51225MH2003PTC143151,2003
U51225MH2004PTC150197,2003
U51225MH2008PLC178046,2004
U51225MH2008PTC178077,2008
U51225MH2008PTC181203,2008
U51225MH2009PTC190950,2008
U51225MH2012PTC230031,2009
U51225MH2014PLC252543,2012
U51225MH2018PTC313350,2014
U51225PN1953PLC009129,2018
U51225PN1994PTC076832,1953
U51225PN2001PTC016193,1994
U51225PN2001PTC016326,2001
U51225PN2011PTC140650,2001
U51226MH1983PTC029080,2011
U51226MH1991PTC060421,1983
U51226MH1994PTC077727,1991
U51226MH1994PTC079759,1994
U51226MH1995PTC085244,1994
U51226MH1998PTC112930,1995
U51226MH2001PTC131946,1998
U51226MH2001PTC132887,2001
U51226MH2002PTC134748,2001
U51226MH2002PTC135771,2002
U51226MH2005PTC151991,2002
U51226MH2008PTC183280,2005
U51226MH2010PTC211336,2008
U51226MH2019PTC326542,2010
U51226PN1998PTC013210,2019
U51226PN2012PTC144934,1998
U51227MH1998PTC117099,2012
U51227MH2002PTC137847,1998
U51227MH2003PTC143774,2002
U51227MH2007PTC174906,2003
U51227MH2008PTC183671,2007
U51227PN2001PTC016010,2008
U51228MH1951PTC008392,2001
U51228MH1955PTC009483,1951
U51228MH1973PTC016355,1955
U51228MH1977PTC020042,1973
U51228MH1978PTC020078,1977
U51228MH1979PTC021158,1978
U51228MH1979PTC021379,1979
U51228MH1984PTC034708,1979
U51228MH1985PLC037151,1984
U51228MH1985PTC038446,1985
U51228MH1986PLC040731,1985
U51228MH1986PTC039686,1986
U51228MH1987PTC042984,1986
U51228MH1987PTC045030,1987
U51228MH1988PTC047832,1987
U51228MH1989PTC051466,1988
U51228MH1989PTC051485,1989
U51228MH1990PTC058446,1989
U51228MH1991PTC061341,1990
U51228MH1991PTC194633,1991
U51228MH1992PTC064706,1991
U51228MH1994PLC084056,1992
U51228MH1994PTC083141,1994
U51228MH1995PTC086800,1994
U51228MH1995PTC087588,1995
U51228MH1995PTC088030,1995
U51228MH1996PTC098202,1995
U51228MH1996PTC100023,1996
U51228MH1998PTC116695,1996
U51228MH1999PTC119516,1998
U51228MH1999PTC120098,1999
U51228MH1999PTC120546,1999
U51228MH2000PTC125323,1999
U51228MH2000PTC129413,2000
U51228MH2002PTC136649,2000
U51228MH2003PTC140934,2002
U51228MH2003PTC141605,2003
U51228MH2003PTC142086,2003
U51228MH2004PTC135536,2003
U51228MH2004PTC144886,2004
U51228MH2004PTC145257,2004
U51228MH2004PTC149635,2004
U51228MH2006PTC162593,2004
U51228MH2006PTC163856,2006
U51228MH2007PTC170946,2006
U51228MH2007PTC172992,2007
U51228MH2008PTC178251,2007
U51228MH2008PTC185599,2008
U51228MH2008PTC186544,2008
U51228MH2008PTC187230,2008
U51228MH2008PTC187901,2008
U51228MH2013PTC247663,2008
U51228PN1999PTC013490,2013
U51228PN2004PTC019749,1999
U51228PN2005PTC021379,2004
U51228PN2007PTC130012,2005
U51228PN2009PTC133869,2007
U51229MH1973PTC016344,2009
U51229MH1987PTC307946,1973
U51229MH1989PTC052999,1987
U51229MH1996PTC098221,1989
U51229MH1997PTC107298,1996
U51229MH1998PTC114324,1997
U51229MH1998PTC116424,1998
U51229MH1999PTC122480,1998
U51229MH1999PTC123224,1999
U51229MH2000PLC129915,1999
U51229MH2000PTC129545,2000
U51229MH2000PTC129767,2000
U51229MH2000PTC129855,2000
U51229MH2000PTC130084,2000
U51229MH2005PTC154689,2000
U51229MH2006PTC160389,2005
U51229MH2007PTC167002,2006
U51229MH2007PTC167137,2007
U51229MH2008PTC179909,2007
U51229MH2018PTC311766,2008
U51229MH2019PTC325653,2018
U51229MH2019PTC333102,2019
U51229MH2020PTC336219,2019
U51229PN1990PTC057471,2020
U51229PN1994PLC080303,1990
U51229PN1994PTC078977,1994
U51229PN1994PTC080211,1994
U51229PN2001PLC131630,1994
U51229PN2003PTC018196,2001
U51229PN2004PTC018764,2003
U51229PN2004PTC018809,2004
U51229PN2004PTC018838,2004
U51229PN2004PTC019094,2004
U51229PN2004PTC019459,2004
U51229PN2004PTC019715,2004
U51229PN2004PTC019984,2004
U51229PN2005PTC020222,2004
U51229PN2005PTC020233,2005
U51229PN2005PTC020273,2005
U51229PN2005PTC020590,2005
U51229PN2005PTC020625,2005
U51229PN2005PTC020653,2005
U51229PN2005PTC020687,2005
U51229PN2005PTC020830,2005
U51229PN2005PTC021046,2005
U51229PN2005PTC021598,2005
U51229PN2006PLC128656,2005
U51229PN2006PLC128821,2006
U51229PN2006PTC021903,2006
U51229PN2006PTC022192,2006
U51229PN2006PTC128683,2006
U51229PN2006PTC128707,2006
U51229PN2011PTC138835,2006
U51240MH2004PTC145511,2011
U51300MH1932PTC001810,2004
U51300MH1964PTC013021,1932
U51300MH1980PTC022950,1964
U51300MH1982PTC026405,1980
U51300MH1983PTC030744,1982
U51300MH1985PLC036709,1983
U51300MH1987PTC043502,1985
U51300MH1988PTC046683,1987
U51300MH1990PTC056857,1988
U51300MH1993PTC070996,1990
U51300MH1994PTC077257,1993
U51300MH1994PTC079547,1994
U51300MH1994PTC081723,1994
U51300MH1995PTC087574,1994
U51300MH1995PTC088727,1995
U51300MH1998PTC114528,1995
U51300MH2002PTC138047,1998
U51300MH2004PLC150153,2002
U51300MH2004PTC057375,2004
U51300MH2004PTC149305,2004
U51300MH2005PTC155693,2004
U51300MH2005PTC155951,2005
U51300MH2006PTC159847,2005
U51300MH2007PTC173709,2006
U51300MH2007PTC175330,2007
U51300MH2007PTC175515,2007
U51300MH2007PTC176714,2007
U51300MH2007PTC177118,2007
U51300MH2008PTC178734,2007
U51300MH2008PTC179377,2008
U51300MH2008PTC179398,2008
U51300MH2008PTC180178,2008
U51300MH2008PTC180775,2008
U51300MH2008PTC181880,2008
U51300MH2008PTC183304,2008
U51300MH2009PTC196367,2008
U51300MH2010PTC199686,2009
U51300MH2010PTC200106,2010
U51300MH2010PTC201985,2010
U51300MH2010PTC203509,2010
U51300MH2011PTC219099,2010
U51300MH2011PTC222953,2011
U51300MH2012PTC233104,2011
U51300MH2016PTC288899,2012
U51300PN2007PTC130622,2016
U51300PN2019PTC188352,2007
U51310MH1936PTC002443,2019
U51310MH1943PTC003907,1936
U51310MH1944PTC004240,1943
U51310MH1947PTC005953,1944
U51310MH1948PTC006250,1947
U51310MH1948PTC006475,1948
U51310MH1949PLC007338,1948
U51310MH1950PTC008280,1949
U51310MH1972PTC015641,1950
U51310MH1974PTC017843,1972
U51310MH1984PTC032699,1974
U51310MH1987PTC043833,1984
U51310MH1987PTC044354,1987
U51310MH1989PTC053527,1987
U51310MH1989PTC054724,1989
U51310MH1990PTC055772,1989
U51310MH1990PTC055780,1990
U51310MH1990PTC056154,1990
U51310MH1990PTC056218,1990
U51310MH1990PTC056356,1990
U51310MH1990PTC057345,1990
U51310MH1990PTC057538,1990
U51310MH1990PTC057704,1990
U51310MH1990PTC057768,1990
U51310MH1990PTC058214,1990
U51310MH1990PTC058380,1990
U51310MH1990PTC058434,1990
U51310MH1990PTC059358,1990
U51310MH1991PLC064667,1990
U51310MH1991PTC060506,1991
U51310MH1991PTC061088,1991
U51310MH1991PTC061615,1991
U51310MH1991PTC063659,1991
U51310MH1991PTC064296,1991
U51310MH1992PLC067874,1991
U51310MH1992PTC065007,1992
U51310MH1992PTC067561,1992
U51310MH1992PTC069312,1992
U51310MH1992PTC069565,1992
U51310MH1992PTC070181,1992
U51310MH1993PTC070498,1992
U51310MH1993PTC073077,1993
U51310MH1993PTC074843,1993
U51310MH1993PTC074845,1993
U51310MH1994PTC077438,1993
U51310MH1994PTC078302,1994
U51310MH1994PTC079104,1994
U51310MH1994PTC082211,1994
U51310MH1994PTC082284,1994
